Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,46,43,"$131,900",$0,08/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,46,43,"$134,900",$0,08/10/2024
Departamento De Amplias Dimenciones Apto Profesional,Departamento,Almagro Norte,3,2,2,85,85,"$134,900",$0,14/11/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,2,77,77,"$135,000",$0,23/10/2024
Departamento - Almagro,Departamento,Almagro Norte,3,2,2,81,71,"$137,000",$0,07/10/2024
Departamento En Venta Ubicado En La Calle Yatay Al 700,Departamento,Almagro Norte,2,1,1,49,46,"$139,000",$0,14/11/2024
Departamento En Almagro,Departamento,Almagro Norte,3,2,1,68,49,"$140,000",$0,18/10/2024
Departamento En Almagro,Departamento,Almagro Norte,3,2,2,62,58,"$140,000",$0,09/10/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,2,109,91,"$140,000",$0,29/09/2024
"3 Ambientes , Balcon Terraza, Lavadero,vista Abierta",Departamento,Almagro Norte,3,2,1,85,75,"$144,000",$0,18/11/2024
Departamento A Estrenar En Excelente Torre Full Amenities !! Ideal Inversion,Departamento,Almagro Norte,2,1,1,51,43,"$146,900",$0,04/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,34,30,"$147,000",$0,02/11/2024
Departamento De 4 Ambientes En Venta En Almagro,Departamento,Almagro Norte,4,3,1,90,84,"$148,000",$0,04/10/2024
3 Ambientes 1er Piso Con Patio Y Balc&oacute;n Salguero Y Corrientes Almagro,Departamento,Almagro Norte,3,2,1,78,60,"$149,000",$0,14/11/2024
2 Ambientes | Medrano Al 400,Departamento,Almagro Norte,2,1,1,52,26,"$150,000",$0,23/11/2024
Departamento De 4 Ambientes En Venta En Almagro,Departamento,Almagro Norte,4,3,1,96,89,"$150,000",$0,05/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,63,56,"$151,000",$0,02/11/2024
3 Ambientes | Medrano Al 400,Departamento,Almagro Norte,3,2,1,66,62,"$153,410",$0,23/11/2024
Departamento En Almagro,Departamento,Almagro Norte,3,2,1,88,34,"$160,000",$0,13/11/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,61,56,"$160,000",$0,02/11/2024
Departamento - Almagro,Departamento,Almagro Norte,4,3,3,94,87,"$160,000",$0,23/10/2024
"Venta Departamento 3 Dormitorios, Almagro C.a.b.a",Departamento,Almagro Norte,5,3,1,101,101,"$160,000",$0,20/11/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,1,62,58,"$160,700",$0,08/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,65,51,"$164,000",$0,02/11/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,1,62,58,"$164,600",$0,08/10/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,1,62,58,"$172,300",$0,08/10/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,1,62,58,"$176,200",$0,08/10/2024
"Apto Crédito, A Estrenar En Boedo. Venta Departamento De 2 Ambientes Con Balcón Terraza",Departamento,Almagro Norte,2,1,1,75,44,"$180,000",$0,22/11/2024
Departamento De 3 Ambientes En Venta En Almagro,Departamento,Almagro Norte,3,2,1,62,58,"$180,100",$0,08/10/2024
"A Estrenar. Venta En Pozo.departamento. 2 Dorm, Ppal En Suite. 2 Baños .balcón. Almagro",Departamento,Almagro Norte,3,2,2,74,70,"$181,000",$0,16/11/2024
Venta Departamento 2 Dormitorios Almagro,Departamento,Almagro Norte,3,2,2,68,63,"$182,000",$0,04/10/2024
"A Estrenar. Venta En Pozo.departamento. 2 Dorm, Ppal En Suite. 2 Baños .balcón. Almagro",Departamento,Almagro Norte,3,2,2,74,70,"$183,000",$0,16/11/2024
"A Estrenar. Venta En Pozo.departamento. 2 Dorm, Ppal En Suite. 2 Baños .balcón. Almagro",Departamento,Almagro Norte,3,2,2,74,70,"$185,000",$0,16/11/2024
A Estrenar. Venta En Pozo.depto. 3 Ambientes. Suite. 2 Baños . Patio Y Balcón. Almagro,Departamento,Almagro Norte,3,2,2,86,70,"$188,000",$0,16/11/2024
Departamento - Almagro,Departamento,Almagro Norte,4,3,1,160,63,"$195,000",$0,29/10/2024
Departamento De 4 Ambientes En Venta En Almagro,Departamento,Almagro Norte,4,3,1,85,81,"$199,000",$0,21/11/2024
Departamento 4 Ambientes Larrea 200 Abasto Muy Luminoso Apt,Departamento,Almagro Norte,4,3,1,80,80,"$200,000",$0,23/10/2024
"Humahuaca 3900, Excelente Departamento 3 Ambientes De Categorí­a, Reciclado, Almagro",Departamento,Almagro Norte,3,2,2,104,99,"$210,000",$0,01/11/2024
"Venta Departamento De 3 Ambientes Con Balcón, A Estrenar En Boedo, Apto Crédito.",Departamento,Almagro Norte,3,2,2,66,62,"$215,000",$0,19/11/2024
Ultimas Unidades De 3 Amb. Con Balcon Al Frente A Estrenar ! Excelente Torre Full Amenities,Departamento,Almagro Norte,3,2,1,72,65,"$216,000",$0,04/10/2024
Departamento En Almagro,Departamento,Almagro Norte,5,4,3,164,153,"$230,000",$0,31/10/2024
"Humahuaca 3900, Moderno Departamento 4 Ambientes En Almagro, Semipiso Balcon Aterrazado Subte B",Departamento,Almagro Norte,4,3,2,93,81,"$250,000",$0,24/09/2024
Departamento En Almagro/caballito A Estrenar De 4 Ambientes,Departamento,Almagro Norte,4,3,2,85,75,"$296,900",$0,26/09/2024
4 Ambientes Con Balcon Con Parrilla Al Frente - Apto Profesional,Departamento,Almagro Norte,4,3,2,139,139,"$439,900",$0,04/10/2024
3 Amb. en Venta - Zona Almagro,Departamento,Almagro Sur,3,2,1,116,116,"$149,000",$0,20/11/2024
Departamento de 3 amb 67m2con pileta terraza y quincho.,Departamento,Balvanera,3,2,1,64,63,"$118,000","$15,000",19/11/2024
Departamento - Venta - Capital Federal,Departamento,Balvanera,3,2,2,112,104,"$165,000","$50,000",25/09/2024
DEPTO. 2 Amb. C/ GRAN PATIO ATERRAZADO,Departamento,Balvanera,2,1,1,89,44,"$88,000","$56,600",04/11/2024
Departamento - Venta - Capital Federal,Departamento,Balvanera,2,1,1,30,30,"$79,000","$60,000",09/10/2024
Venta Departamento 4 Ambientes En Caba. Apto Profesional,Departamento,Balvanera,4,3,2,85,78,"$110,000","$60,000",20/11/2024
"Departamento En Venta En Balvanera, Capital Federal, Buenos Aires",Departamento,Balvanera,2,1,1,34,34,"$56,500","$70,000",24/10/2024
"3 AMBIENTES CON DEPENDENCIA,PATIO Y BALCON A LA CALLE",Departamento,Balvanera,3,2,2,936,87,"$150,000","$73,000",09/10/2024
Av Jujuy 400 Balvanera 3amb U$110.000,Departamento,Balvanera,3,2,1,60,60,"$110,000","$77,000",16/10/2024
"RETASADO!! VENTA 3 AMB, COCHERA Y BAULERA, BALVANERA, CABA",Departamento,Balvanera,3,2,1,60,60,"$109,000","$85,000",14/10/2024
"Super luminoso, gran oportunidad.",Departamento,Balvanera,1,1,1,27,27,"$42,000","$95,000",22/11/2024
México 3300 Balvanera 4amb U$95.000,Departamento,Balvanera,4,3,1,60,55,"$95,000","$95,000",21/11/2024
Departamento en venta de 1 dormitorio en Balvanera,Departamento,Balvanera,2,1,1,43,40,"$69,900","$100,000",27/11/2024
Castelli 300 Balvanera 4amb U$85.000,Departamento,Balvanera,4,3,2,68,67,"$85,000","$100,000",09/10/2024
"OPORTUNIDAD! VENTA DEPTO DUPLEX 4 AMBIENTES, BALVANERA, CABA",Departamento,Balvanera,4,3,2,79,79,"$95,000","$100,000",23/11/2024
Departamento - Venta - Capital Federal,Departamento,Balvanera,2,1,1,44,39,"$110,000","$100,000",21/11/2024
"ONCE, VENTA 4 AMBIENTES CON PATIO",Departamento,Balvanera,4,3,2,93,93,"$130,000","$104,000",22/11/2024
Dean Funes 600 Balvanera 4amb U$110.000,Departamento,Balvanera,4,3,2,102,102,"$110,000","$115,000",23/11/2024
Av Córdoba 2900 Balvanera 3amb U$150.000,Departamento,Balvanera,3,2,1,57,57,"$150,000","$120,000",07/11/2024
Anchorena 700 Balvanera 3amb U$179.000,Departamento,Balvanera,3,2,2,76,76,"$179,000","$125,945",23/11/2024
"Depto clasico, 3 ambientes, muy amplio, 92 m2, al frente, en Tucuman y Junin",Departamento,Balvanera,3,2,1,92,88,"$115,000","$150,000",26/11/2024
2 ambientes luminoso contrafrente,Departamento,Balvanera,2,1,1,42,42,"$60,000","$160,000",23/10/2024
